"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.614308119E0,-7.661445439E-2,1.149216816E-1,9.805540085E0
3.615317106E0,-7.661445439E-2,7.661445439E-2,9.805540085E0
3.616322279E0,-7.661445439E-2,1.149216816E-1,9.805540085E0
3.617315292E0,-7.661445439E-2,7.661445439E-2,9.805540085E0
3.618270159E0,-7.661445439E-2,1.149216816E-1,9.805540085E0
3.619313002E0,-1.532289088E-1,3.830722719E-2,9.805520058E0
3.620312214E0,-1.532289088E-1,7.661445439E-2,9.805520058E0
3.621286154E0,-1.532289088E-1,3.830722719E-2,9.805520058E0
3.622322083E0,-1.532289088E-1,7.661445439E-2,9.805520058E0
3.623278379E0,-1.532289088E-1,3.830722719E-2,9.805520058E0
3.624272108E0,-1.532289088E-1,7.661445439E-2,9.805520058E0
3.625287056E0,-1.532289088E-1,3.830722719E-2,9.805520058E0
3.626337290E0,-1.532289088E-1,7.661445439E-2,9.805520058E0
3.627273083E0,-1.532289088E-1,3.830722719E-2,9.805520058E0
3.628277302E0,-1.532289088E-1,7.661445439E-2,9.805520058E0
